Generator Name,Power Project Type,Capacity (MW),DC Capacity (MW),Owner,Power Project Status,Contract Price ($/MWh),Contract Type,Contract Price Type,Contract Offtaker Type,Hybrid Status,State,ISO,Latitude (Degrees),Longitude (Degrees),First Power Date,Year,hail_lat,hail_lon,hail_dist
AES Rt 5 Solar CSG: RT5SS,Solar,5.0,6.5,AES,In Construction,122.23,,Assumed,,N,NY,NYISO,42.97347,-78.01527,12/01/2025,2025,43.4,-77.8,0.4777750661137533
Ellis Creek Solar: 17188,Solar,4.0,5.2,White Pine Renewables,In Construction,65.35,,Assumed,,N,CA,CAISO,38.2223,-122.5737,01/01/2026,2026,38.0,-122.8,0.31722071180803496
Ardagh Solar: 1,Solar,12.9,16.8,CI Renewables,In Construction,65.09,,Assumed,,N,CA,CAISO,36.921281,-120.1083,03/01/2026,2026,37.1,-120.1,0.17891162891494905
DIVOCSG 13: DIV13,Solar,1.0,1.3,DIVOCSG 13 LLC,Operating,53.39,,Assumed,,N,MN,MISO,44.3645,-92.0274,04/01/2025,2025,44.3,-92.2,0.18425799846954072
Millers Branch Solar: MLB03,Solar,132.0,171.6,Southern Power,In Construction,58.65,,Assumed,,N,TX,ERCOT,33.47885,-99.66157,07/01/2026,2026,33.5,-99.4,0.26242367919072335
IL Bolingbrook 279 Marquette Dr: 19572,Solar,1.0,1.3,Catalyze,Operating,84.3,,Assumed,,N,IL,PJM,41.672428,-88.06185,05/01/2025,2025,41.6,-87.7,0.3690274213171728
MN CSG 2019-22: BRAUN,Solar,1.0,1.3,MN CSG 2019-22 LLC,Operating,53.2,,Assumed,,N,MN,MISO,44.7951,-95.1001,04/01/2025,2025,45.2,-94.9,0.45164590112166497
Brazoria Solar I: BRAZ,Solar,125.0,162.5,"Brazoria Solar i, LLC",In Construction,58.83,,Assumed,,N,TX,ERCOT,29.138777,-95.37108,03/01/2026,2026,29.0,-95.8,0.45081195872446916
IL Bedford Park 6901 W 65th St: 19574,Solar,2.0,2.6,Catalyze,In Construction,84.06,,Assumed,,N,IL,PJM,41.772696,-87.79431,03/01/2026,2026,41.6,-87.7,0.19676962295029016
IL BEDFORD PARK 7035 W 65TH ST: 19575,Solar,2.0,2.6,Catalyze,Operating,84.06,,Assumed,,N,IL,PJM,41.772468,-87.79725,09/01/2025,2025,41.6,-87.7,0.19799690281416324
Bishop Ranch - BR 8-O: 4975C,Solar,1.0,1.3,Executive Parkway BR8-O Solar Project 2020 LLC,Operating,65.7,,Assumed,,Y,CA,CAISO,37.769011,-121.9668,03/01/2025,2025,38.0,-121.9,0.2404540665511826
USNY - Geddes: GEDDE,Solar,3.3,4.3,Abundant Solar Power Inc.,Operating,123.64,,Assumed,,N,NY,NYISO,43.065015,-76.2196,07/01/2025,2025,43.4,-76.0,0.4005485116998905
"Lowe's - 1845 - Chicago Brickyard, IL: 7509",Solar,1.0,1.3,"North Narragansett Avenue Solar Project 2022, LLC",Operating,79.7,,Assumed,,N,IL,MISO,41.928181,-87.78931,02/01/2025,2025,41.6,-87.7,0.34011622257840046
Bishop Ranch - BR 15-AA: 4654C,Solar,0.5,0.7,Alcosta Boulevard BR 15-AA Solar Project 2020 LLC,Operating,65.55,,Assumed,,Y,CA,CAISO,37.77538,-121.9613,04/01/2025,2025,38.0,-121.9,0.23283434969952205
Bishop Ranch - BR 15-CC: 4656C,Solar,0.5,0.7,"Alcosta Boulevard BR 15-CC Solar Project 2020, LLC",Operating,65.7,,Assumed,,Y,CA,CAISO,37.773323,-121.9602,03/01/2025,2025,38.0,-121.9,0.23453465059346856
