lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
38.0,-105.7,0.19,0.14,0.06,0.03,1.533281,1.12659,0.469812,0.242896,1.636352,1.227264,0.715904,0.460224,12.9438
38.0,-106.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.102272,0.051136,0.051136,0.0
38.0,-107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.0
38.0,-108.4,0.01,0.01,0.0,0.0,0.098277,0.05593,0.0,0.0,0.204544,0.153408,0.051136,0.051136,0.6426
38.9,-102.1,0.3,0.23,0.12,0.06,2.428161,1.824117,0.927639,0.512159,18.102144,13.960128,8.028352,5.215872,20.95794
38.9,-103.0,0.29,0.22,0.11,0.06,2.340271,1.778574,0.894081,0.488988,18.613504,14.471488,8.335168,5.420416,20.43468
38.9,-103.9,0.29,0.22,0.11,0.06,2.350658,1.783368,0.897277,0.491385,18.306688,14.0624,7.977216,5.1136,20.48976
38.9,-104.8,0.27,0.21,0.1,0.06,2.190059,1.690684,0.83096,0.446641,10.99424,8.284032,4.60224,2.914752,19.42488
38.9,-105.7,0.22,0.16,0.07,0.04,1.767388,1.297576,0.555305,0.306816,2.965888,2.198848,1.227264,0.76704,14.90832
38.9,-106.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204544,0.153408,0.102272,0.051136,0.0
38.9,-107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.051136,0.0
38.9,-108.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.0
39.8,-103.0,0.32,0.24,0.12,0.07,2.569584,1.898424,0.981971,0.550511,17.999872,13.908992,7.92608,5.1136,21.81168
39.8,-103.9,0.3,0.23,0.12,0.06,2.420171,1.820122,0.924443,0.509762,19.227136,14.57376,8.079488,5.1136,20.91204
39.8,-104.8,0.28,0.22,0.11,0.06,2.25318,1.732232,0.860523,0.465018,13.244224,9.97152,5.36928,3.374976,19.90224
39.8,-105.7,0.23,0.17,0.07,0.04,1.816926,1.343918,0.588064,0.322796,3.937472,2.965888,1.585216,1.02272,15.44076
39.8,-106.6,0.01,0.0,0.0,0.0,0.053533,0.026367,0.0,0.0,0.306816,0.25568,0.153408,0.102272,0.30294
39.8,-107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204544,0.153408,0.102272,0.051136,0.0
39.8,-108.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.0
39.8,-109.3,0.05,0.03,0.01,0.0,0.389113,0.260474,0.058327,0.0,0.306816,0.204544,0.102272,0.051136,2.99268
40.7,-102.1,0.31,0.23,0.12,0.07,2.509659,1.867263,0.9588,0.533732,21.22144,16.414656,9.46016,6.13632,21.45366
40.7,-103.0,0.32,0.23,0.12,0.07,2.520046,1.872856,0.962795,0.536928,17.38624,13.346496,7.619264,4.909056,21.51792
40.7,-103.9,0.3,0.23,0.11,0.06,2.397799,1.808137,0.915654,0.504169,14.113536,10.840832,6.13632,3.937472,20.77434
40.7,-104.8,0.27,0.2,0.1,0.05,2.129335,1.634754,0.79101,0.426666,9.511296,7.15904,3.988608,2.505664,18.78228
40.7,-105.7,0.2,0.15,0.06,0.03,1.604392,1.177726,0.49538,0.262072,3.017024,2.30112,1.2784,0.76704,13.53132
40.7,-106.6,0.01,0.0,0.0,0.0,0.077503,0.039151,0.0,0.0,0.204544,0.153408,0.102272,0.051136,0.44982
40.7,-107.5,0.0,0.0,0.0,0.0,0.001598,0.000799,0.0,0.0,0.204544,0.153408,0.102272,0.051136,0.00918
40.7,-108.4,0.03,0.02,0.0,0.0,0.19975,0.137428,0.003196,0.0,0.204544,0.153408,0.102272,0.051136,1.57896
41.6,-72.4,0.13,0.1,0.04,0.02,1.026715,0.75905,0.283645,0.126242,2.30112,1.687488,0.869312,0.562496,8.721
41.6,-73.3,0.17,0.12,0.05,0.02,1.320747,0.972383,0.393108,0.185368,4.142016,3.06816,1.636352,1.02272,11.17206
38.9,-75.1,0.14,0.1,0.04,0.02,1.098625,0.811784,0.310811,0.139825,2.607936,1.892032,0.971584,0.613632,9.32688
24.5,-79.6,0.06,0.04,0.01,0.0,0.451435,0.310012,0.077503,0.008789,0.357952,0.25568,0.153408,0.102272,3.56184
24.5,-80.5,0.07,0.05,0.01,0.0,0.540124,0.387515,0.107066,0.029563,0.460224,0.357952,0.204544,0.153408,4.4523
24.5,-81.4,0.05,0.04,0.01,0.0,0.420274,0.282846,0.067116,0.001598,0.357952,0.25568,0.153408,0.102272,3.24972
