lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
24.5,-82.3,0.03,0.02,0.0,0.0,0.246092,0.16779,0.016779,0.0,0.306816,0.204544,0.153408,0.102272,1.9278
25.4,-80.5,0.16,0.12,0.05,0.02,1.269611,0.935629,0.37553,0.171785,1.636352,1.227264,0.664768,0.409088,10.74978
25.4,-81.4,0.11,0.08,0.03,0.01,0.8789,0.651984,0.228514,0.099076,1.073856,0.818176,0.460224,0.306816,7.49088
25.4,-82.3,0.09,0.07,0.02,0.01,0.736678,0.549712,0.174981,0.072709,0.664768,0.51136,0.306816,0.204544,6.31584
26.3,-79.6,0.15,0.11,0.04,0.02,1.188113,0.875704,0.344369,0.156604,1.482944,1.124992,0.664768,0.409088,10.06128
26.3,-80.5,0.18,0.13,0.05,0.03,1.445391,1.06267,0.437852,0.219725,3.06816,2.352256,1.329536,0.818176,12.2094
26.3,-81.4,0.18,0.13,0.05,0.03,1.419024,1.043494,0.428264,0.212534,2.659072,2.04544,1.124992,0.715904,11.98908
26.3,-82.3,0.16,0.12,0.05,0.02,1.297576,0.955604,0.385118,0.179775,1.482944,1.124992,0.664768,0.409088,10.97928
26.3,-83.2,0.05,0.03,0.01,0.0,0.360349,0.242097,0.049538,0.0,0.306816,0.204544,0.153408,0.102272,2.78154
27.2,-79.6,0.15,0.11,0.04,0.02,1.203294,0.88689,0.349962,0.159001,1.380672,1.073856,0.613632,0.409088,10.1898
27.2,-80.5,0.19,0.14,0.06,0.03,1.494929,1.098625,0.456229,0.232509,2.81248,2.147712,1.227264,0.76704,12.6225
27.2,-81.4,0.19,0.14,0.06,0.03,1.515703,1.113806,0.46342,0.238102,3.119296,2.403392,1.329536,0.869312,12.79692
27.2,-82.3,0.16,0.12,0.05,0.02,1.305566,0.961197,0.388314,0.181373,1.738624,1.329536,0.715904,0.460224,11.04354
27.2,-83.2,0.06,0.04,0.01,0.0,0.473008,0.329188,0.084694,0.013583,0.460224,0.357952,0.204544,0.102272,3.78216
28.1,-79.6,0.1,0.07,0.02,0.01,0.793407,0.590461,0.195755,0.083096,0.715904,0.562496,0.306816,0.204544,6.78402
28.1,-80.5,0.16,0.12,0.05,0.02,1.308762,0.963594,0.389113,0.182172,2.659072,1.994304,1.073856,0.664768,11.07108
28.1,-81.4,0.2,0.15,0.06,0.03,1.636352,1.200897,0.506566,0.270861,4.448832,3.374976,1.840896,1.176128,13.79754
28.1,-82.3,0.16,0.11,0.05,0.02,1.245641,0.918051,0.365942,0.166991,2.710208,2.04544,1.124992,0.664768,10.54782
28.1,-83.2,0.08,0.06,0.02,0.01,0.673557,0.50337,0.151011,0.060724,0.920448,0.664768,0.357952,0.25568,5.7834
29.0,-80.5,0.15,0.11,0.04,0.02,1.21448,0.89488,0.354756,0.161398,3.32384,2.454528,1.329536,0.818176,10.2816
29.0,-81.4,0.19,0.14,0.06,0.03,1.510909,1.109811,0.461822,0.236504,5.471552,4.09088,2.198848,1.380672,12.75102
29.0,-82.3,0.18,0.13,0.05,0.03,1.423019,1.04669,0.429862,0.213333,3.886336,2.914752,1.585216,0.971584,12.0258
29.0,-83.2,0.11,0.08,0.03,0.01,0.898875,0.666366,0.235705,0.102272,1.78976,1.329536,0.715904,0.460224,7.65612
29.0,-84.1,0.12,0.09,0.03,0.02,0.991559,0.733482,0.270861,0.11985,1.329536,1.02272,0.562496,0.357952,8.42724
29.0,-85.0,0.13,0.09,0.03,0.02,1.004343,0.74307,0.275655,0.122247,1.2784,0.971584,0.562496,0.357952,8.5374
29.0,-85.9,0.08,0.06,0.02,0.01,0.646391,0.480199,0.141423,0.054332,0.76704,0.562496,0.306816,0.204544,5.51718
